Order,Order Chinese,Family,Family Chinese,Genus,Official Chinese genus name,Original Chinese genus name,Audit status,Audit note,Audit sources,CBR suffix candidate - NOT USED,Candidate basis,CBR checklist species count,Example CBR species
Strigiformes,鸮形目,Strigidae,鸱鸮科,Ninox,鹰鸮属,鹰鸮属,未改动,,,鹰鸮属,shared Chinese species-name suffix only; not used in app,2,鹰鸮 (Ninox scutulata); 北鹰鸮 (Ninox japonica)
Strigiformes,鸮形目,Tytonidae,仓鸮科,Tyto,草鸮属,草鸮属,未改动,,,,,2,草鸮 (Tyto longimembris); 仓鸮 (Tyto javanica)
Suliformes,鲣鸟目,Phalacrocoracidae,鸬鹚科,Urile,海鸬鹚属,海鸬鹚属,未改动,,,鸬鹚属,shared Chinese species-name suffix only; not used in app,2,红脸鸬鹚 (Urile urile); 海鸬鹚 (Urile pelagicus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Accipiter,鹰属,鹰属,未改动,,,,,1,雀鹰 (Accipiter nisus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Aegypius,秃鹫属,秃鹫属,未改动,,,,,1,秃鹫 (Aegypius monachus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Astur,苍鹰属,苍鹰属,未改动,,,,,1,苍鹰 (Astur gentilis)
Accipitriformes,鹰形目,Accipitridae,鹰科,Circaetus,短趾雕属,短趾雕属,未改动,,,,,1,短趾雕 (Circaetus gallicus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Elanus,黑翅鸢属,黑翅鸢属,未改动,,,,,1,黑翅鸢 (Elanus caeruleus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Gypaetus,胡兀鹫属,胡兀鹫属,未改动,,,,,1,胡兀鹫 (Gypaetus barbatus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Haliastur,栗鸢属,栗鸢属,未改动,,,,,1,栗鸢 (Haliastur indus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Hieraaetus,隼雕属,隼雕属,未改动,,,,,1,靴隼雕 (Hieraaetus pennatus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Ictinaetus,林雕属,林雕属,未改动,,,,,1,林雕 (Ictinaetus malaiensis)
Accipitriformes,鹰形目,Accipitridae,鹰科,Lophospiza,,,未确认；继续留空,近年拆分/恢复使用的属，未找到稳定、可核实的中文正式属名。,本轮未找到足够一致的正式属级中文名来源,,,1,凤头鹰 (Lophospiza trivirgata)
Accipitriformes,鹰形目,Accipitridae,鹰科,Lophotriorchis,棕腹隼雕属,棕腹隼雕属,未改动,,,,,1,棕腹隼雕 (Lophotriorchis kienerii)
Accipitriformes,鹰形目,Accipitridae,鹰科,Milvus,鸢属,鸢属,未改动,,,,,1,黑鸢 (Milvus migrans)
Accipitriformes,鹰形目,Accipitridae,鹰科,Neophron,白兀鹫属,白兀鹫属,未改动,,,,,1,白兀鹫 (Neophron percnopterus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Sarcogyps,黑兀鹫属,黑兀鹫属,未改动,,,,,1,黑兀鹫 (Sarcogyps calvus)
Accipitriformes,鹰形目,Accipitridae,鹰科,Spilornis,蛇雕属,蛇雕属,未改动,,,,,1,蛇雕 (Spilornis cheela)
Accipitriformes,鹰形目,Pandionidae,鹗科,Pandion,鹗属,鹗属,未改动,,,,,1,鹗 (Pandion haliaetus)
Anseriformes,雁形目,Anatidae,鸭科,Asarcornis,白翅栖鸭属,白翅栖鸭属,未改动,,,,,1,白翅栖鸭 (Asarcornis scutulata)
Anseriformes,雁形目,Anatidae,鸭科,Bucephala,鹊鸭属,鹊鸭属,未改动,,,,,1,鹊鸭 (Bucephala clangula)
Anseriformes,雁形目,Anatidae,鸭科,Clangula,长尾鸭属,长尾鸭属,未改动,,,,,1,长尾鸭 (Clangula hyemalis)
Anseriformes,雁形目,Anatidae,鸭科,Dendrocygna,树鸭属,树鸭属,未改动,,,,,1,栗树鸭 (Dendrocygna javanica)
Anseriformes,雁形目,Anatidae,鸭科,Histrionicus,丑鸭属,丑鸭属,未改动,,,,,1,丑鸭 (Histrionicus histrionicus)
Anseriformes,雁形目,Anatidae,鸭科,Nettapus,棉凫属,棉凫属,未改动,,,,,1,棉凫 (Nettapus coromandelianus)
Anseriformes,雁形目,Anatidae,鸭科,Oxyura,硬尾鸭属,硬尾鸭属,未改动,,,,,1,白头硬尾鸭 (Oxyura leucocephala)
Anseriformes,雁形目,Anatidae,鸭科,Polysticta,小绒鸭属,小绒鸭属,未改动,,,,,1,小绒鸭 (Polysticta stelleri)
Apodiformes,雨燕目,Apodidae,雨燕科,Cypsiurus,棕雨燕属,棕雨燕属,未改动,,,,,1,棕雨燕 (Cypsiurus balasiensis)
Apodiformes,雨燕目,Apodidae,雨燕科,Tachymarptis,高山雨燕属,高山雨燕属,未改动,,,,,1,高山雨燕 (Tachymarptis melba)
Bucerotiformes,犀鸟目,Bucerotidae,犀鸟科,Anthracoceros,斑犀鸟属,斑犀鸟属,未改动,,,,,1,冠斑犀鸟 (Anthracoceros albirostris)
Bucerotiformes,犀鸟目,Upupidae,戴胜科,Upupa,戴胜属,戴胜属,未改动,,,,,1,戴胜 (Upupa epops)
Caprimulgiformes,夜鹰目,Caprimulgidae,夜鹰科,Lyncornis,大毛腿夜鹰属,耳夜鹰属,已确认修正,与 Eurostopodus 的中文属名混用；现行拆分后 Lyncornis 对应“大毛腿夜鹰属”。,Global Bird Index（IOC 15.1）；懂鸟,,,1,毛腿耳夜鹰 (Lyncornis macrotis)
Charadriiformes,鸻形目,Alcidae,海雀科,Brachyramphus,斑海雀属,斑海雀属,未改动,,,,,1,长嘴斑海雀 (Brachyramphus perdix)
Charadriiformes,鸻形目,Alcidae,海雀科,Cerorhinca,角嘴海雀属,角嘴海雀属,未改动,,,,,1,角嘴海雀 (Cerorhinca monocerata)
Charadriiformes,鸻形目,Alcidae,海雀科,Uria,海鸦属,海鸦属,未改动,,,,,1,崖海鸦 (Uria aalge)
Charadriiformes,鸻形目,Burhinidae,石鸻科,Burhinus,石鸻属,石鸻属,未改动,,,,,1,石鸻 (Burhinus oedicnemus)
Charadriiformes,鸻形目,Burhinidae,石鸻科,Esacus,大石鸻属,大石鸻属,未改动,,,,,1,大石鸻 (Esacus recurvirostris)
Charadriiformes,鸻形目,Charadriidae,鸻科,Charadrius,鸻属,鸻属,未改动,,,,,1,剑鸻 (Charadrius hiaticula)
Charadriiformes,鸻形目,Charadriidae,鸻科,Eudromias,,,未确认；继续留空,分类处理与中文属名存在版本差异，未确认统一正式用法。,本轮未找到足够一致的正式属级中文名来源,,,1,小嘴鸻 (Eudromias morinellus)
Charadriiformes,鸻形目,Haematopodidae,蛎鹬科,Haematopus,蛎鹬属,蛎鹬属,未改动,,,,,1,蛎鹬 (Haematopus ostralegus)
Charadriiformes,鸻形目,Laridae,鸥科,Gelochelidon,噪鸥属,噪鸥属,未改动,,,,,1,鸥嘴噪鸥 (Gelochelidon nilotica)
Charadriiformes,鸻形目,Laridae,鸥科,Gygis,白燕鸥属,白燕鸥属,未改动,,,,,1,白燕鸥 (Gygis alba)
Charadriiformes,鸻形目,Laridae,鸥科,Rhodostethia,楔尾鸥属,楔尾鸥属,未改动,,,,,1,楔尾鸥 (Rhodostethia rosea)
Charadriiformes,鸻形目,Laridae,鸥科,Rissa,三趾鸥属,三趾鸥属,未改动,,,,,1,三趾鸥 (Rissa tridactyla)
Charadriiformes,鸻形目,Laridae,鸥科,Sternula,小燕鸥属,小燕鸥属,未改动,,,,,1,白额燕鸥 (Sternula albifrons)
Charadriiformes,鸻形目,Laridae,鸥科,Xema,叉尾鸥属,叉尾鸥属,未改动,,,,,1,叉尾鸥 (Xema sabini)
Charadriiformes,鸻形目,Rostratulidae,彩鹬科,Rostratula,彩鹬属,彩鹬属,未改动,,,,,1,彩鹬 (Rostratula benghalensis)
Charadriiformes,鸻形目,Scolopacidae,丘鹬科,Arenaria,翻石鹬属,翻石鹬属,未改动,,,,,1,翻石鹬 (Arenaria interpres)
Charadriiformes,鸻形目,Scolopacidae,丘鹬科,Lymnocryptes,姬鹬属,姬鹬属,未改动,,,,,1,姬鹬 (Lymnocryptes minimus)
Ciconiiformes,鹳形目,Ciconiidae,鹳科,Anastomus,钳嘴鹳属,钳嘴鹳属,未改动,,,,,1,钳嘴鹳 (Anastomus oscitans)
Columbiformes,鸽形目,Columbidae,鸠鸽科,Chalcophaps,金鸠属,金鸠属,未改动,,,,,1,绿翅金鸠 (Chalcophaps indica)
Columbiformes,鸽形目,Columbidae,鸠鸽科,Ramphiculus,果鸠属,果鸠属,未改动,,,,,1,黑颏果鸠 (Ramphiculus leclancheri)
Coraciiformes,佛法僧目,Alcedinidae,翠鸟科,Ceryle,鱼狗属,鱼狗属,未改动,,,,,1,斑鱼狗 (Ceryle rudis)
Coraciiformes,佛法僧目,Alcedinidae,翠鸟科,Ceyx,三趾翠鸟属,三趾翠鸟属,未改动,,,,,1,三趾翠鸟 (Ceyx erithaca)
Coraciiformes,佛法僧目,Alcedinidae,翠鸟科,Megaceryle,大鱼狗属,冠鱼狗属,已确认修正,“冠鱼狗属”不是该属当前常用的正式属名；Megaceryle 为“大鱼狗属”。,全球鸟类分类索引；中文鸟类资料,,,1,冠鱼狗 (Megaceryle lugubris)
Coraciiformes,佛法僧目,Alcedinidae,翠鸟科,Pelargopsis,鹳嘴翡翠属,鹳嘴翡翠属,未改动,,,,,1,鹳嘴翡翠 (Pelargopsis capensis)
Coraciiformes,佛法僧目,Alcedinidae,翠鸟科,Todiramphus,领翡翠属,领翡翠属,未改动,,,,,1,白领翡翠 (Todiramphus chloris)
Coraciiformes,佛法僧目,Coraciidae,佛法僧科,Eurystomus,三宝鸟属,三宝鸟属,未改动,,,,,1,三宝鸟 (Eurystomus orientalis)
Coraciiformes,佛法僧目,Meropidae,蜂虎科,Nyctyornis,夜蜂虎属,夜蜂虎属,未改动,,,,,1,蓝须夜蜂虎 (Nyctyornis athertoni)
Cuculiformes,鹃形目,Cuculidae,杜鹃科,Eudynamys,噪鹃属,噪鹃属,未改动,,,,,1,噪鹃 (Eudynamys scolopaceus)
Cuculiformes,鹃形目,Cuculidae,杜鹃科,Phaenicophaeus,地鹃属,地鹃属,未改动,,,,,1,绿嘴地鹃 (Phaenicophaeus tristis)
Cuculiformes,鹃形目,Cuculidae,杜鹃科,Surniculus,乌鹃属,乌鹃属,未改动,,,,,1,乌鹃 (Surniculus lugubris)
Galliformes,鸡形目,Phasianidae,雉科,Falcipennis,镰翅鸡属,镰翅鸡属,未改动,,,,,1,镰翅鸡 (Falcipennis falcipennis)
Galliformes,鸡形目,Phasianidae,雉科,Francolinus,鹧鸪属,鹧鸪属,未改动,,,,,1,中华鹧鸪 (Francolinus pintadeanus)
Galliformes,鸡形目,Phasianidae,雉科,Gallus,原鸡属,原鸡属,未改动,,,,,1,红原鸡 (Gallus gallus)
Galliformes,鸡形目,Phasianidae,雉科,Ithaginis,血雉属,血雉属,未改动,,,,,1,血雉 (Ithaginis cruentus)
Galliformes,鸡形目,Phasianidae,雉科,Lyrurus,黑琴鸡属,黑琴鸡属,未改动,,,,,1,黑琴鸡 (Lyrurus tetrix)
Galliformes,鸡形目,Phasianidae,雉科,Pavo,孔雀属,孔雀属,未改动,,,,,1,绿孔雀 (Pavo muticus)
Galliformes,鸡形目,Phasianidae,雉科,Phasianus,雉属,雉属,未改动,,,,,1,雉鸡 (Phasianus colchicus)
Galliformes,鸡形目,Phasianidae,雉科,Pucrasia,勺鸡属,勺鸡属,未改动,,,,,1,勺鸡 (Pucrasia macrolopha)
Galliformes,鸡形目,Phasianidae,雉科,Synoicus,蓝胸鹑属,蓝胸鹑属,未改动,,,,,1,蓝胸鹑 (Synoicus chinensis)
Galliformes,鸡形目,Phasianidae,雉科,Tropicoperdix,树鹧鸪属,树鹧鸪属,未改动,,,,,1,绿脚树鹧鸪 (Tropicoperdix chloropus)
Gruiformes,鹤形目,Rallidae,秧鸡科,Amaurornis,苦恶鸟属,苦恶鸟属,未改动,,,,,1,白胸苦恶鸟 (Amaurornis phoenicurus)
Gruiformes,鹤形目,Rallidae,秧鸡科,Fulica,骨顶鸡属,骨顶鸡属,未改动,,,,,1,白骨顶 (Fulica atra)
Gruiformes,鹤形目,Rallidae,秧鸡科,Gallinula,黑水鸡属,黑水鸡属,未改动,,,,,1,黑水鸡 (Gallinula chloropus)
Gruiformes,鹤形目,Rallidae,秧鸡科,Lewinia,灰胸秧鸡属,灰胸秧鸡属,未改动,,,,,1,灰胸秧鸡 (Lewinia striata)
Gruiformes,鹤形目,Rallidae,秧鸡科,Porzana,田鸡属,田鸡属,未改动,,,,,1,斑胸田鸡 (Porzana porzana)
Otidiformes,鸨形目,Otididae,鸨科,Otis,鸨属,鸨属,未改动,,,,,1,大鸨 (Otis tarda)
Passeriformes,雀形目,Acrocephalidae,苇莺科,Arundinax,厚嘴苇莺属,厚嘴苇莺属,未改动,,,,,1,厚嘴苇莺 (Arundinax aedon)
Passeriformes,雀形目,Alaudidae,百灵科,Eremophila,角百灵属,角百灵属,未改动,,,,,1,角百灵 (Eremophila alpestris)
Passeriformes,雀形目,Alaudidae,百灵科,Galerida,凤头百灵属,凤头百灵属,未改动,,,,,1,凤头百灵 (Galerida cristata)
Passeriformes,雀形目,Alaudidae,百灵科,Mirafra,歌百灵属,歌百灵属,未改动,,,,,1,歌百灵 (Mirafra javanica)
Passeriformes,雀形目,Calcariidae,铁爪鹀科,Calcarius,铁爪鹀属,铁爪鹀属,未改动,,,,,1,铁爪鹀 (Calcarius lapponicus)
Passeriformes,雀形目,Calcariidae,铁爪鹀科,Plectrophenax,雪鹀属,雪鹀属,未改动,,,,,1,雪鹀 (Plectrophenax nivalis)
Passeriformes,雀形目,Campephagidae,鹃鵙科,Coracina,鸦鹃鵙属,鸦鹃鵙属,未改动,,,,,1,大鹃鵙 (Coracina javensis)
Passeriformes,雀形目,Cettiidae,树莺科,Hemitesia,,,未确认；继续留空,未找到稳定、可核实的中文正式属名。,本轮未找到足够一致的正式属级中文名来源,,,1,淡脚树莺 (Hemitesia pallidipes)
Passeriformes,雀形目,Cettiidae,树莺科,Phyllergates,拟缝叶莺属,拟缝叶莺属,未改动,,,,,1,金头拟缝叶莺 (Phyllergates cucullatus)
Passeriformes,雀形目,Cettiidae,树莺科,Tickellia,宽嘴鹟莺属,宽嘴鹟莺属,未改动,,,,,1,宽嘴鹟莺 (Tickellia hodgsoni)
Passeriformes,雀形目,Corvidae,鸦科,Cyanopica,灰喜鹊属,灰喜鹊属,未改动,,,,,1,灰喜鹊 (Cyanopica cyanus)
Passeriformes,雀形目,Corvidae,鸦科,Garrulus,松鸦属,松鸦属,未改动,,,,,1,松鸦 (Garrulus glandarius)
Passeriformes,雀形目,Estrildidae,梅花雀科,Amandava,红梅花雀属,梅花雀属,已确认修正,“梅花雀属”通常对应 Estrilda；Amandava 为“红梅花雀属”。,中国动物物种编目数据库；懂鸟,,,1,红梅花雀 (Amandava amandava)
Passeriformes,雀形目,Estrildidae,梅花雀科,Erythrura,鹦雀属,鹦雀属,未改动,,,,,1,长尾鹦雀 (Erythrura prasina)
Passeriformes,雀形目,Eurylaimidae,阔嘴鸟科,Psarisomus,长尾阔嘴鸟属,长尾阔嘴鸟属,未改动,,,,,1,长尾阔嘴鸟 (Psarisomus dalhousiae)
Passeriformes,雀形目,Fringillidae,燕雀科,Acanthis,白腰朱顶雀属,朱顶雀属,已确认修正,与 Linaria 的“朱顶雀属”混用；拆分后 Acanthis 使用“白腰朱顶雀属”。,懂鸟；《中国鸟类分类与分布名录》补充材料,,,1,白腰朱顶雀 (Acanthis flammea)
Passeriformes,雀形目,Fringillidae,燕雀科,Bucanetes,沙雀属,沙雀属,未改动,,,,,1,蒙古沙雀 (Bucanetes mongolicus)
Passeriformes,雀形目,Fringillidae,燕雀科,Callacanthis,红眉金翅雀属,红眉金翅雀属,未改动,,,,,1,红眉金翅雀 (Callacanthis burtoni)
Passeriformes,雀形目,Fringillidae,燕雀科,Carduelis,红额金翅雀属,金翅雀属,已确认修正,与 Chloris 的“金翅雀属”混用；拆分后的 Carduelis 使用“红额金翅雀属”。,懂鸟；全球鸟类分类索引,,,1,红额金翅雀 (Carduelis carduelis)
Passeriformes,雀形目,Fringillidae,燕雀科,Coccothraustes,锡嘴雀属,锡嘴雀属,未改动,,,,,1,锡嘴雀 (Coccothraustes coccothraustes)
Passeriformes,雀形目,Fringillidae,燕雀科,Pinicola,松雀属,松雀属,未改动,,,,,1,松雀 (Pinicola enucleator)
Passeriformes,雀形目,Fringillidae,燕雀科,Procarduelis,暗胸朱雀属,暗胸朱雀属,未改动,,,,,1,暗胸朱雀 (Procarduelis nipalensis)
Passeriformes,雀形目,Fringillidae,燕雀科,Rhodopechys,红翅沙雀属,沙雀属,已确认修正,与 Bucanetes 的“沙雀属”混用；Rhodopechys 使用“红翅沙雀属”。,懂鸟；iNaturalist 中文名修订记录,,,1,红翅沙雀 (Rhodopechys sanguineus)
Passeriformes,雀形目,Hirundinidae,燕科,Cecropis,金腰燕属,金腰燕属,未改动,,,,,1,金腰燕 (Cecropis daurica)
Passeriformes,雀形目,Hirundinidae,燕科,Petrochelidon,石燕属,石燕属,未改动,,,,,1,黄额燕 (Petrochelidon fluvicola)
Passeriformes,雀形目,Irenidae,和平鸟科,Irena,和平鸟属,和平鸟属,未改动,,,,,1,和平鸟 (Irena puella)
Passeriformes,雀形目,Leiothrichidae,噪鹛科,Cutia,姬鹛属,姬鹛属,未改动,,,,,1,斑胁姬鹛 (Cutia nipalensis)
Passeriformes,雀形目,Leiothrichidae,噪鹛科,Grammatoptila,条纹噪鹛属,条纹噪鹛属,未改动,,,,,1,条纹噪鹛 (Grammatoptila striata)
Passeriformes,雀形目,Leiothrichidae,噪鹛科,Leioptila,奇鹛属,奇鹛属,未改动,,,,,1,栗背奇鹛 (Leioptila annectens)
Passeriformes,雀形目,Leiothrichidae,噪鹛科,Minla,希鹛属,希鹛属,未改动,,,,,1,火尾希鹛 (Minla ignotincta)
Passeriformes,雀形目,Locustellidae,蝗莺科,Megalurus,大尾莺属,大尾莺属,未改动,,,,,1,沼泽大尾莺 (Megalurus palustris)
Passeriformes,雀形目,Monarchidae,王鹟科,Hypothymis,黑枕王鹟属,王鹟属,用户确认后填写,用户复核并确认使用“黑枕王鹟属”。,用户确认,,,1,黑枕王鹟 (Hypothymis azurea)
Passeriformes,雀形目,Muscicapidae,鹟科,Anthipes,白喉姬鹟属,白喉姬鹟属,未改动,,,,,1,白喉姬鹟 (Anthipes monileger)
Passeriformes,雀形目,Muscicapidae,鹟科,Cercotrichas,须薮鸲属,薮鸲属,用户确认后填写,用户复核并确认使用“须薮鸲属”。,用户确认,,,1,棕薮鸲 (Cercotrichas galactotes)
Passeriformes,雀形目,Muscicapidae,鹟科,Cinclidium,蓝额地鸲属,长脚地鸲属,用户确认后填写,用户复核并确认使用“蓝额地鸲属”。,用户确认,,,1,蓝额长脚地鸲 (Cinclidium frontale)
Passeriformes,雀形目,Muscicapidae,鹟科,Erithacus,欧亚鸲属,欧亚鸲属,未改动,,,,,1,欧亚鸲 (Erithacus rubecula)
Passeriformes,雀形目,Muscicapidae,鹟科,Eumyias,铜蓝仙鹟属,蓝鹟属,用户确认后填写,用户复核并确认使用“铜蓝仙鹟属”。,用户确认,,,1,铜蓝鹟 (Eumyias thalassinus)
Passeriformes,雀形目,Muscicapidae,鹟科,Heteroxenicus,短翅鸫属,短翅鸫属,未改动,,,,,1,栗背短翅鸫 (Heteroxenicus stellatus)
Passeriformes,雀形目,Muscicapidae,鹟科,Leucoptilon,,,未确认；继续留空,近年拆分使用的属，未找到稳定、可核实的中文正式属名。,本轮未找到足够一致的正式属级中文名来源,,,1,白尾蓝仙鹟 (Leucoptilon concretum)
Passeriformes,雀形目,Muscicapidae,鹟科,Myiomela,蓝地鸲属,蓝地鸲属,未改动,,,,,1,白尾蓝地鸲 (Myiomela leucura)
Passeriformes,雀形目,Nectariniidae,太阳鸟科,Anthreptes,食蜜鸟属,食蜜鸟属,未改动,,,,,1,褐喉食蜜鸟 (Anthreptes malacensis)
Passeriformes,雀形目,Nectariniidae,太阳鸟科,Chalcoparia,直嘴太阳鸟属,直嘴太阳鸟属,用户确认保留,用户复核后确认保留原值“直嘴太阳鸟属”。,用户确认,,,1,紫颊直嘴太阳鸟 (Chalcoparia singalensis)
Passeriformes,雀形目,Nectariniidae,太阳鸟科,Kurochkinegramma,,,未确认；继续留空,近年新立/调整的属，未找到稳定、可核实的中文正式属名。,本轮未找到足够一致的正式属级中文名来源,,,1,蓝枕花蜜鸟 (Kurochkinegramma hypogrammicum)
Passeriformes,雀形目,Panuridae,文须雀科,Panurus,文须雀属,文须雀属,未改动,,,,,1,文须雀 (Panurus biarmicus)
Passeriformes,雀形目,Paradoxornithidae,鸦雀科,Chrysomma,金眼鹛雀属,金眼鹛雀属,未改动,,,,,1,金眼鹛雀 (Chrysomma sinense)
Passeriformes,雀形目,Paradoxornithidae,鸦雀科,Lioparus,金胸雀鹛属,金胸雀鹛属,未改动,,,,,1,金胸雀鹛 (Lioparus chrysotis)
Passeriformes,雀形目,Paridae,山雀科,Cephalopyrus,火冠雀属,火冠雀属,未改动,,,,,1,火冠雀 (Cephalopyrus flammiceps)
Passeriformes,雀形目,Paridae,山雀科,Cyanistes,蓝山雀属,蓝山雀属,未改动,,,,,1,灰蓝山雀 (Cyanistes cyanus)
Passeriformes,雀形目,Paridae,山雀科,Lophophanes,冠山雀属,冠山雀属,未改动,,,,,1,褐冠山雀 (Lophophanes dichrous)
Passeriformes,雀形目,Paridae,山雀科,Melanochlora,冕雀属,冕雀属,未改动,,,,,1,冕雀 (Melanochlora sultanea)
Passeriformes,雀形目,Paridae,山雀科,Sylviparus,黄眉林雀属,林雀属,用户确认后填写,用户复核并确认使用“黄眉林雀属”。,用户确认,,,1,黄眉林雀 (Sylviparus modestus)
Passeriformes,雀形目,Passerellidae,雀鹀科,Passerculus,稀树草鹀属,草鹀属,用户确认后填写,用户复核并确认使用“稀树草鹀属”。,用户确认,,,1,稀树草鹀 (Passerculus sandwichensis)
Passeriformes,雀形目,Passerellidae,雀鹀科,Zonotrichia,带鹀属,带鹀属,未改动,,,,,1,白冠带鹀 (Zonotrichia leucophrys)
Passeriformes,雀形目,Passeridae,雀科,Petronia,石雀属,石雀属,未改动,,,,,1,石雀 (Petronia petronia)
Passeriformes,雀形目,Pellorneidae,幽鹛科,Graminicola,大草莺属,草鹛属,已确认修正,“草鹛属”是按旧中文种名推导，现行属名为“大草莺属”。,Species 2000 China；观鸟去（AviList 2025）,,,1,中华草鹛 (Graminicola striatus)
Passeriformes,雀形目,Pycnonotidae,鹎科,Alcurus,,鹎属,用户决定留空,用户复核后决定暂不填写中文属名。,用户确认,,,1,纵纹绿鹎 (Alcurus striatus)
Passeriformes,雀形目,Pycnonotidae,鹎科,Iole,伊俄勒短脚鹎属,短脚鹎属,用户确认后填写,用户复核并确认使用“伊俄勒短脚鹎属”。,用户确认,,,1,灰眼短脚鹎 (Iole propinqua)
Passeriformes,雀形目,Pycnonotidae,鹎科,Ixos,爱索斯短脚鹎属,短脚鹎属,用户确认后填写,用户复核并确认使用“爱索斯短脚鹎属”。,用户确认,,,1,绿翅短脚鹎 (Ixos mcclellandii)
Passeriformes,雀形目,Pycnonotidae,鹎科,Microtarsus,黑头鹎属,黑头鹎属,未改动,,,,,1,黑头鹎 (Microtarsus melanocephalos)
Passeriformes,雀形目,Pycnonotidae,鹎科,Rubigula,,黑冠黄鹎属,用户决定留空,用户复核后决定暂不填写中文属名。,用户确认,,,1,黑冠黄鹎 (Rubigula flaviventris)
Passeriformes,雀形目,Stenostiridae,仙莺科,Culicicapa,方尾鹟属,方尾鹟属,未改动,,,,,1,方尾鹟 (Culicicapa ceylonensis)
Passeriformes,雀形目,Sturnidae,椋鸟科,Aplonis,辉椋鸟属,辉椋鸟属,未改动,,,,,1,亚洲辉椋鸟 (Aplonis panayensis)
Passeriformes,雀形目,Sturnidae,椋鸟科,Gracula,鹩哥属,鹩哥属,未改动,,,,,1,鹩哥 (Gracula religiosa)
Passeriformes,雀形目,Sturnidae,椋鸟科,Pastor,粉红椋鸟属,粉红椋鸟属,未改动,,,,,1,粉红椋鸟 (Pastor roseus)
Passeriformes,雀形目,Sturnidae,椋鸟科,Saroglossa,斑翅椋鸟属,斑翅椋鸟属,未改动,,,,,1,斑翅椋鸟 (Saroglossa spilopterus)
Passeriformes,雀形目,Sturnidae,椋鸟科,Sturnus,椋鸟属,椋鸟属,未改动,,,,,1,紫翅椋鸟 (Sturnus vulgaris)
Passeriformes,雀形目,Sylviidae,莺鹛科,Sylvia,林莺属,林莺属,未改动,,,,,1,黑顶林莺 (Sylvia atricapilla)
Passeriformes,雀形目,Tichodromidae,旋壁雀科,Tichodroma,旋壁雀属,旋壁雀属,未改动,,,,,1,红翅旋壁雀 (Tichodroma muraria)
Passeriformes,雀形目,Timaliidae,鹛科,Timalia,红顶鹛属,红顶鹛属,未改动,,,,,1,红顶鹛 (Timalia pileata)
Passeriformes,雀形目,Troglodytidae,鹪鹩科,Troglodytes,鹪鹩属,鹪鹩属,未改动,,,,,1,鹪鹩 (Troglodytes troglodytes)
Passeriformes,雀形目,Vangidae,钩嘴鵙科,Hemipus,鹟鵙属,鹟鵙属,未改动,,,,,1,褐背鹟鵙 (Hemipus picatus)
Passeriformes,雀形目,Vangidae,钩嘴鵙科,Tephrodornis,林鵙属,林鵙属,未改动,,,,,1,钩嘴林鵙 (Tephrodornis virgatus)
Passeriformes,雀形目,Vireonidae,莺雀科,Erpornis,白腹凤鹛属,凤鹛属,用户确认后填写,用户复核并确认使用“白腹凤鹛属”。,用户确认,,,1,白腹凤鹛 (Erpornis zantholeuca)
Passeriformes,雀形目,Zosteropidae,绣眼鸟科,Parayuhina,白领凤鹛属,白领凤鹛属,未改动,,,,,1,白领凤鹛 (Parayuhina diademata)
Pelecaniformes,鹈形目,Ardeidae,鹭科,Butorides,绿鹭属,绿鹭属,未改动,,,,,1,绿鹭 (Butorides striata)
Pelecaniformes,鹈形目,Threskiornithidae,鹮科,Plegadis,彩鹮属,彩鹮属,未改动,,,,,1,彩鹮 (Plegadis falcinellus)
Phoenicopteriformes,红鹳目,Phoenicopteridae,红鹳科,Phoenicopterus,红鹳属,红鹳属,未改动,,,,,1,大红鹳 (Phoenicopterus roseus)
Piciformes,䴕形目,Indicatoridae,响蜜鴷科,Indicator,响蜜䴕属,响蜜䴕属,未改动,,,,,1,黄腰响蜜䴕 (Indicator xanthonotus)
Piciformes,䴕形目,Picidae,啄木鸟科,Blythipicus,噪啄木鸟属,栗啄木鸟属,已确认修正,与 Micropternus 的“栗啄木鸟属”混用；Blythipicus 为“噪啄木鸟属”。,全球鸟类分类索引（IOC 15.1）；懂鸟,,,1,黄嘴栗啄木鸟 (Blythipicus pyrrhotis)
Piciformes,䴕形目,Picidae,啄木鸟科,Chrysocolaptes,大金背啄木鸟属,金背啄木鸟属,已确认修正,与 Dinopium 的“金背三趾啄木鸟属”等近似名称区分；现行属名为“大金背啄木鸟属”。,全球鸟类分类索引（IOC 15.1）；人民网云南频道,,,1,大金背啄木鸟 (Chrysocolaptes guttacristatus)
Piciformes,䴕形目,Picidae,啄木鸟科,Chrysophlegma,大黄冠啄木鸟属,黄冠啄木鸟属,已确认修正,现行属级中文名为“大黄冠啄木鸟属”，不能只写成“黄冠啄木鸟属”。,全球鸟类分类索引（IOC 15.1）,,,1,大黄冠啄木鸟 (Chrysophlegma flavinucha)
